award_amount,award_amount_usd,country,created_date,currency,description,description_en,description_raw,end_date,end_year,funded_date,institutation,keyword,keyword_en,project_id,project_id_original,project_term,project_url,researcher,researcher_en,source,start_date,start_year,title,title_en,updated_date
,,,,,,,,,,,University of Tartu,ÜK,,MJD259,MJD259,,,Pauli Heikkilä,,,,,"Foreign policy of exile Estonians, 1944-1972",,
,,,,,,,,,,,University of Tartu,LT,,MJD262,MJD262,,,Juha Matti Linnanto,,,,,Time Evolution of Electronic Excitation in Photosynthetic Complexes,,
,,,,,,,,,,,Protobios OÜ,TU,,MJD266,MJD266,,,Alla Piirsoo,,,,,Study on mechanisms of chemotactic migration and differentiation potency of adipose derived mesenchymal stem-like cells,,
,,,,,,,,,,,Tallinn University of Technology,"LT, KE",,MJD270,MJD270,,,Irina Nikolkina,,,,,Statistics of extreme wave conditions and events for Estonian coastal waters,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,LT,,MJD272,MJD272,,,Elmo Tempel,,,,,Dark Matter search using astrophysical sources,,
,,,,,,,,,,,University of Tartu,LT,,MJD280,MJD280,,,Diana Santalova,,,,,Multivariate regression models in application for transport flows analysis and forecasting,,
,,,,,,,,,,,University of Tartu,TU,,MJD284,MJD284,,,Tõnis Org,,,,,Mechanisms of Scl/Tal1 dependent gene activation and repression during mesoderm diversification,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD285,MJD285,,,Merit Nigol,,,,,Reuse of power plant ashes: development of continuous processes for abatement of emissions of acidic gases (SO2 and CO2) and PCC production,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,LT,,MJD298,MJD298,,,Antonio Racioppi,,,,,SUniversity of Tartuckelberg Z’ and scalar dark matter,,
,,,,,,,,,,,University of Tartu,KE,,MJD305,MJD305,,,Qiaoying Zhang,,,,,The adaptive value of kin recognition in herbaceous plant communities with contrasting species richness,,
,,,,,,,,,,,University of Tartu,LT,,MJD309,MJD309,,,Andis Kalvans,,,,,Studies of the dynamics of SE sector of last Scandinavian Ice Sheet by image analysis approach applied in relief analysis,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD310,MJD310,,,Luis Estrada-Gonzalez,,,,,"Logical pluralism: Agreement, disagreement, and the possibility of communication",,
,,,,,,,,,,,University of Tartu,LT,,MJD320,MJD320,,,Nele Muttik,,,,,Mineralogical and isotopic evidence for the nature of the aqueous and hydrothermal processes affecting the martian meteorites: Insight for early environments on Mars,,
,,,,,,,,,,,University of Tartu,KE,,MJD321,MJD321,,,Karin Kogermann,,,,,Effects of macrolide antibiotics on bacterial physiology- cell filamentation,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD322,MJD322,,,Josep Soler-Carbonell,,,,,"The role and perception of English as a ‘global’ language in academic research and higher education. Questions, policies and effects for “medium-sized” language communities",,
,,,,,,,,,,,University of Tartu,KE,,MJD323,MJD323,,,Triin Vahisalu,,,,,Molecular mechanisms of plant guard cell regulation in response to ozone,,
,,,,,,,,,,,University of Tartu,LT,,MJD327,MJD327,,,Charly France Alexandre Mayeux,,,,,Alkali metal ion affinities in the gas phase,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD334,MJD334,,,Maris Berzins,,,,,Domains of Interethnic Contact in Latvia,,
,,,,,,,,,,,University of Tartu,"ÜK, KE",,MJD338,MJD338,,,Jana Temelova,,,,,Social aspects of neighbourhood change in pre-1989 city space: The Case of Estonian and Czech Cities,,
,,,,,,,,,,,University of Tartu,LT,,MJD340,MJD340,,,Evely Leetma,,,,,Smoothing problems,,
,,,,,,,,,,,Tallinn University of Technology,"TU, KE",,MJD341,MJD341,,,Mari Palgi,,,,,Molecular studies of bHLH transcription factor daughterless and its mammalian homologue TCF4 in Drosophila,,
,,,,,,,,,,,Tallinn University,ÜK,,MJD347,MJD347,,,Lars Fredrik Stöcker,,,,,"A gradual transition: Perestroika, opposition, secession and transformation in Estonia in the light of the border-crossing elite networks from the mid-1980s to the early 1990s",,
,,,,,,,,,,,Tallinn University,ÜK,,MJD362,MJD362,,,Larissa Kus,,,,,"The impact of power reversal, social changes, and division between ethnic groups on intergroup relations and subjective well-being",,
,,,,,,,,,,,University of Tartu,KE,,MJD376,MJD376,,,Jaanis Juhanson,,,,,Spatial patterns of denitrifying microorganisms for improved mitigation strategies for nitrous oxide emissions from arable land,,
,,,,,,,,,,,University of Tartu,LT,,MJD387,MJD387,,,Luca Marzola,,,,,Exploring new Physics through Astro-Particle Physics,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD391,MJD391,,,Oleksandr Husev,,,,,"Research, design and implementation of qZS-derived DC/DC and multilevel DC/AC converters",,
,,,,,,,,,,,University of Tartu,KE,,MJD398,MJD398,,,Anna Katarzyna Jasinska,,,,,Structure-function relationships of the water transport pathway of deciduous trees in light of global climate change: Effects of increasing atmospheric humidity,,
,,,,,,,,,,,Tallinn University of Technology,"KE, LT",,MJD407,MJD407,,,Petra Tonarová,,,,,Diversification and biogeography of Silurian jawed polychaetes,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD409,MJD409,,,Martins Kaprans,,,,,Stability and dynamics of post-communist remembering: memory politics and agency in Eastern Europe,,
,,,,,,,,,,,University of Tartu,LT,,MJD428,MJD428,,,Kuno Kooser,,,,,Vacuum-ultraviolet spectroscopy for homogeneous molecular clusters and mixed biomolecule-solvent clusters,,
,,,,,,,,,,,University of Tartu,LT,,MJD433,MJD433,,,Larissa Roots,,,,,Multiscale Methods for Fracture,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,LT,,MJD435,MJD435,,,Christian Spethmann,,,,,Researching physics within and beyond the Standard Model,,
,,,,,,,,,,,Tallinn University of Technology,ÜK,,MJD437,MJD437,,,Alexandr Svetlicinii,,,,,"Transplantation of the EU competition rules and standards in a small market economy: case of Estonia from regional, EU and international perspective",,
,,,,,,,,,,,Estonian University of Life Sciences,KE,,MJD438,MJD438,,,Tiina Tosens,,,,,Towards better understanding of mesophyll conductance: the third major player in the process of photosynthesis,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,LT,,MJD447,MJD447,,,Oleg Janson,,,,,Microscopic modeling of magnetic materials using DFT+U and hybrid functionals,,
,,,,,,,,,,,Tallinn University,ÜK,,MJD450,MJD450,,,Aet Annist,,,,,Mapping the migratory careers of transnational Estonians,,
,,,,,,,,,,,Tallinn University of Technology,LT,,MJD455,MJD455,,,Julija Gusca,,,,,Integrated Assessment Analysis of Greenhouse Gases Emissions of Estonian Energy Production Sector,,
,,,,,,,,,,,University of Tartu,TU,,MJD457,MJD457,,,Helin Räägel,,,,,Identification of the role and function of polarity-generating and actin-modulating proteins in the formation of the peculiar hepatocytic polarity,,
,,,,,,,,,,,University of Tartu,ÜK,,MJD458,MJD458,,,Uwe Sperling,,,,,Research in metalwork of Bronze Age Estonia – archaeometric and experimental methods applied,,
,,,,,,,,,,,Tallinn University,ÜK,,MJD459,MJD459,,,Sebastian Fiedler,,,,,The development and re-instrumentation of learning activity in the context of creative work: potentials for systemic intervention into educational practise,,
,,,,,,,,,,,University of Tartu,MT,,MTT1,MTT1,,,Harry Alles,,,,,"Manufacturing, processing and characterization of graphene-based nanostructures",,
,,,,,,,,,,,University of Tartu,KKT,,MTT2,MTT2,,,Anna-Karin Borg-Karlsson,,,,,Chemical Ecology,,
,,,,,,,,,,,Tallinn University,KKT,,MTT3,MTT3,,,Shinya Sugita,,,,,Dynamic Landscape Analysis in Southern Estonia (DYLAN-Estonia): Spatial Dynamics of Vegetation and Land Cover through Time,,
,,,,,,,,,,,Tallinn University of Technology,BT,,MTT4,MTT4,,,Teet Velling,,,,,Co-operation of integrins and receptor tyrosine kinases in regulation of cell motility: role of filamin A and PKB/Akt,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,E,,MTT8,MTT8,,,Alessandro Strumia,,,,,Astro particle physics and the Large Hadron Collider,,
,,,,,,,,,,,University of Tartu,BT,,MTT9,MTT9,,,Mikael Brosche,,,,,Natural variation of plant stress responses – molecular tools for environmental research,,
,,,,,,,,,,,Tallinn University of Technology,BT,,MTT12,MTT12,,,Thomas Fehniger,,,,,Biomarkers Measuring Inflammation,,
,,,,,,,,,,,Tallinn University,BT,,MTT16,MTT16,,,Jan Johansson,,,,,Exploiting Nature’s solutions to complex biomedical problems,,
,,,,,,,,,,,University of Tartu,MT,,MTT50,MTT50,,,Yury Orlovskiy,,,,,Design of advanced nanostructured materials with tailored properties for novel laser and light sources,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,IKT,,MTT59,MTT59,,,Andrea Giammanco,,,,,Top quark physics and exotic searches with the CMS detector,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,E,,MTT60,MTT60,,,Emidio Gabrielli,,,,,Search for New Physics beyond the Standard Model and astrophysical implications,,
,,,,,,,,,,,Tallinn University of Technology,KKT,,MTT63,MTT63,,,Tomas Torsvik,,,,,Numerical particle tracking modeling for inhomogeneous turbulent water basins,,
,,,,,,,,,,,Tallinn University of Technology,MT,,MTT68,MTT68,,,Raiker Witter,,,,,"Microwave and Scale enhanced NMR of Micro-Drops, -Leaflets, Cells and Nanoparticles",,
,,,,,,,,,,,Tallinn University of Technology,E,,MTT74,MTT74,,,Jarek Kurnitski,,,,,"Nearly zero energy buildings (nZEB) in Estonia: energy, durability and indoor climate performance analyses combined with cost optimality assessment for transformation",,
,,,,,,,,,,,University of Tartu,MT,,MTT76,MTT76,,,Rudolf Kiefer,,,,,New conductive polymer actuator design,,
,,,,,,,,,,,National Institute of Chemical Physics and Biophysics,MT,,MTT77,MTT77,,,Alexander Tsirlin,,,,,Spin-lattice coupling in magnetism: from quantum magnets to multiferroics,,
,,,,,,,,,,,University of Tartu,MT,,MTT83,MTT83,,,Dmitry Spasskiy,,,,,Advanced oxide-based scintillation materials for application in science and technology,,
,,,,,,,,,,,Tallinn University of Technology,BT,,MTT84,MTT84,,,Urmas Arumäe,,,,,MANF neurotrophic factor: novel mode of action and therapeutic potential,,
,,,,,,,,,,,,,,ERMOS153,ERMOS153,,,Auriemma Fabio,,,,,Micro-grooved panels: A Novel technology for effective noise cancellation,,
,,,,,,,,,,,,,,ERMOS72,ERMOS72,,,Bardone Emanuele,,,,,The role of seeking chances in digital learning ecosystems,,
,,,,,,,,,,,,,,ERMOS82,ERMOS82,,,Barreto Da Rosa Isaias,,,,,Bridging the digital divide with mobile digital libraries,,
,,,,,,,,,,,,,,ERMOS83,ERMOS83,,,Bershteyn Olga,,,,,"Geometric realizations of quantum Harish-Chandra modules, noncommutative complex and hamonic analysis",,
,,,,,,,,,,,,,,ERMOS131,ERMOS131,,,Bogdanoviciene Irma,,,,,Sorption of bio-molecules on synthetic Ca hydroxyapatites doped with metal ions,,
,,,,,,,,,,,,,,ERMOS95,ERMOS95,,,Braghiroli Stefano,,,,,An analysis of voting dynamics in the European Parliament on issues involving the Russian Federation and EU-Russia relations,,
,,,,,,,,,,,,,,ERMOS86,ERMOS86,,,Buchen Clemens,,,,,Institutional underpinnings of innovation and foreign direct investment,,
,,,,,,,,,,,,,,ERMOS10,ERMOS10,,,Castéra Jérémy,,,,,Inquiry learning in virtual learning environments: A comparative study between Estonian nad French learners,,
,,,,,,,,,,,,,,ERMOS92,ERMOS92,,,Davies Alexander,,,,,Verbal and Ontological Disputes in Everyday Life,,
,,,,,,,,,,,,,,ERMOS30,ERMOS30,,,Ekambaram Ramesh,,,,,Synthesis of heterocyclic fragments for construction of potent protein kinase inhibitors and development of biosensors,,
,,,,,,,,,,,,,,ERMOS14,ERMOS14,,,Gazol Antonio,,,,,The heterogeneity-diversity relationship in plant communities: the search for a consensus theory of species coexistence,,
,,,,,,,,,,,,,,ERMOS107,ERMOS107,,,Gulik Volodymyr,,,,,Development of a computational model for transmutation and minimization of nuclear waste within the scope of advanced nuclear fuel cycles,,
,,,,,,,,,,,,,,ERMOS115,ERMOS115,,,Hohmann Manuel,,,,,Geometric extensions of general relativity – foundations and phenomenology,,
,,,,,,,,,,,,,,ERMOS35,ERMOS35,,,Hütsi Gert,,,,,Cosmic Large-Scale Structure: a powerful probe of fundamental physics,,
,,,,,,,,,,,,,,ERMOS79,ERMOS79,,,Ibrus Indrek,,,,,Evolutionary Dynamics of Crossmedia Forms: The Challenges for the Media Industry‘s SMEs in Europe’s North,,
,,,,,,,,,,,,,,ERMOS40,ERMOS40,,,Jõemets Viivian,,,,,The Evaluation of the Proportions of Linguistic Versus Musical Exposure In Early Childhood and the Impact of Cultural Pre-Concepts: A Problem Issue in the Comparative Theory of Music and Language,,
,,,,,,,,,,,,,,ERMOS139,ERMOS139,,,Jõers Priit,,,,,The role of mTERF protein family members in the mitochondrial function of Drosophila melanogaster,,
,,,,,,,,,,,,,,ERMOS85,ERMOS85,,,Jõks Eerik,,,,,Relationship Between Notation and Performance in Medieval Sacred Latin Monody,,
,,,,,,,,,,,,,,ERMOS22,ERMOS22,,,Kalinska Edyta,,,,,Age and climatic signature of coversand deposits distributed on glaciolacustrine basins along the Scandinavian Ice Sheet margin southeast of the Baltic Sea,,
,,,,,,,,,,,,,,ERMOS73,ERMOS73,,,Kazantsev Taras,,,,,Remote sensing methods for plant physiology,,
,,,,,,,,,,,,,,ERMOS67,ERMOS67,,,Katuwal Tika,,,,,THz spectroscopy below 1 Kelvin,,
,,,,,,,,,,,,,,ERMOS90,ERMOS90,,,Klaas Mariliis,,,,,Laminins as possible determinants of somatic stem cell activity in adult tissues,,
,,,,,,,,,,,,,,ERMOS78,ERMOS78,,,Krasnou Illia,,,,,Flow-induced crystallization and rheology of polyester amides and their composites,,
,,,,,,,,,,,,,,ERMOS146,ERMOS146,,,Krause Franz,,,,,"Water, rhythms, landscape: living in dynamic environments in Estonia and Finland",,
,,,,,,,,,,,,,,ERMOS52,ERMOS52,,,Kresova Nina,,,,,Storytelling on Web 2.0: The case of migrants’ personal blogs,,
,,,,,,,,,,,,,,ERMOS64,ERMOS64,,,Lu Chunguang,,,,,"Design, synthesis and immobilization of molecular receptors for analytical applications",,
,,,,,,,,,,,,,,ERMOS5,ERMOS5,,,Gergova Lina Maksimova,,,,,"Nationalsm and Urban Feastivity in Post-socialist Europe: Narratives, Spaces, Powers",,
,,,,,,,,,,,,,,ERMOS102,ERMOS102,,,Mion Giovanni,,,,,Knowledge and Disagreement,,
,,,,,,,,,,,,,,ERMOS66,ERMOS66,,,Männiste Indrek,,,,,The Ontological Status of Modern Technology in the Works of D.H. Lawrence (1885-1930),,
,,,,,,,,,,,,,,ERMOS36,ERMOS36,,,Pavlyk Kateryna,,,,,Topological semigroups of partial transformations and semigroup extensions,,
,,,,,,,,,,,,,,ERMOS12,ERMOS12,,,Piirimäe Kaarel,,,,,A Phoenix from ashes? The concept of national self-determination in World War Two,,
,,,,,,,,,,,,,,ERMOS32,ERMOS32,,,Pisek Jan,,,,,Retrieving foliage clumping index from multi-angle MISR measurements,,
,,,,,,,,,,,,,,ERMOS81,ERMOS81,,,Polese Abel,,,,,"Civil society and Democracy in the former USSR: Exploring Democratic and Authoritarian responses to Sociopolitical Transformations using Case Study based Evidence from Russia, Moldova and Kyrgyzstan",,
,,,,,,,,,,,,,,ERMOS104,ERMOS104,,,Pretto Denis,,,,,Estimation of genetic parameters and economic values for Estonian dairy cattle production and quality traits and definition of a breeding objective that maximizes the dairy industry efficiency,,
,,,,,,,,,,,,,,ERMOS19,ERMOS19,,,Rajashekar Balaji,,,,,Small RNAs : analysis of small RNAs using gene regulation and co-expression data,,
,,,,,,,,,,,,,,ERMOS57,ERMOS57,,,Shalapska Tetyana,,,,,Luminescence and defets creation processes in complex oxides,,
,,,,,,,,,,,,,,ERMOS120,ERMOS120,,,Siragusa Laura,,,,,"Language, traditional knowledge and health in Vepsian villages, Russia",,
,,,,,,,,,,,,,,ERMOS98,ERMOS98,,,Svik Peter,,,,,East-West technology transfer in the civil aviation sector between the 1944 Chicago convention and the fall of the Berlin Wall,,
,,,,,,,,,,,,,,ERMOS11,ERMOS11,,,Zhang Yunchun,,,,,Life-history trade-off in clonal plants in heterogenous habitats,,
,,,,,,,,,,,,,,ERMOS41,ERMOS41,,,Zimmermann Alexander,,,,,Argument hierarchies: a case study for logical pluralism,,
,,,,,,,,,,,,,,ERMOS7,ERMOS7,,,Zusmanovich Pasha,,,,,"Cohomology of Lie algebras, nonassociative structures, dynamical systems, and operads",,
,,,,,,,,,,,,,,ERMOS53,ERMOS53,,,Vassil Kristjan,,,,,"The Impact of ICTs on Political Behavior. Explaining the Impact of Internet Voting and Voting Advice Applications on Voters’ Preferences, Choices and Turnout",,
,,,,,,,,,,,,,,ERMOS75,ERMOS75,,,Vedernikova Elena,,,,,The dynamics of ethnolinguistic vitality of Mari,,
,,,,,,,,,,,,,,ERMOS100,ERMOS100,,,Vircava Ilze,,,,,Clay mineral polytype mapping for identifying paleo heat-pulses and hot fluid migration,,
,,,,,,,,,,,,,,ERMOS23,ERMOS23,,,Yuanqing Zhou,,,,,Structure and function of bacterial communities in constructed wetlands with different macrophytes for pesticides treatment,,
121868,,,,€,,,,,,,"Unversity of Tartu, Faculty of Social Sciences and Education;University of Bergen",Culture and Society,,EMP180,EMP180,,,Risto Kalervo Näätänen,,,,,Language and auditory brain: studies on central sound representation in auditory cortex,,
192552,,,,€,,,,,,,"University of Tartu, Faculty of Philosophy;University of Stavanger",Culture and Society,,EMP151,EMP151,,,Timo Maran,,,,,Animals in changing environments: Cultural mediation and semiotic analysis,,
284468,,,,€,,,,,,,"University of Tartu, Faculty of Mathematics and Computer Science;University of Bergen",Physical Sciences and Engineering,,EMP133,EMP133,,,Vitaly Skachek,,,,,Novel Anaysis and Design Tools for Low-Density Parity-Check Codes,,
141860,,,,€,,,,,,,"University of Tartu, Faculty of Law;University of Oslo",Culture and Society,,EMP205,EMP205,,,Karin Sein,,,,,Topical issues of consumer credit in Estonia and Norway,,
185592,,,,€,,,,,,,"University of Tartu, Faculty of Science and Technology;Norwegian University of Life Sciences",Environment and Biosciences,,EMP171,EMP171,,,Priit Väljamäe,,,,,Role of enzymes processivity in degradation of recalcitrant polysaccharides,,
193478,,,,€,,,,,,,"Tallinn University of Technology, Faculty of Science;University of Bergen",Physical Sciences and Engineering,,EMP230,EMP230,,,Aleksander Kartušinski,,,,,DNS and 3D Reynolds Stress Turbulence Modeling in Particulate Channel Flows with Inter-Particle Collisions and Applications,,
285000,,,,€,,,,,,,"University of Tartu, Faculty of Medicine;University of Bergen",Health,,EMP181,EMP181,,,Tambet Teesalu,,,,,Targeting glioma stem-like cells with tumor penetrating peptides,,
251750,,,,€,,,,,,,"Tallinn University of Technology, Faculty of Social Sciences;University of Oslo, Hedmark University College",Culture and Society,,EMP264,EMP264,,,Rainer Kattel,,,,,Understanding policy change: Financial and fiscal bureaucracy in the Baltic Sea Region,,
237500,,,,€,,,,,,,"Tallinn University, Institute of Political Sciences and Governance;University of Bergen",Culture and Society,,EMP138,EMP138,,,Raivo Vetik,,,,,Political and socio-psychological determinants of inclusive integration context and their inter-dependencies,,
217930,,,,€,,,,,,,"University of Tartu, Faculty of Mathematics and Computer Science;University of Tromsø",Culture and Society,,EMP160,EMP160,,,Heiki-Jaan Kaalep,,,,,"Sami – Estonian language technology cooperation: similar languages, same technologies",,
300000,,,,€,,,,,,,"University of Tartu, Faculty of Science and Technology;University of Oslo",Environment and Biosciences,,EMP265,EMP265,,,Leho Tedersoo,,,,,Biodiversity in the dark: High-throughput sequence analyses of arctic fungal communities (BioFun),,
300000,,,,€,,,,,,,"Tallinn University of Technology, Faculty of Science;University of Bergen",Health,,EMP128,EMP128,,,Tõnis Timmusk,,,,,Activity-dependent regulation of BDNF and Arc: master genes in synaptic plasticity,,
246335,,,,€,,,,,,,"Estonian University of Life Sciences, Institute of Forestry and Rural Engineering;Norwegian Forest and Landscape Institute",Environment and Biosciences,,EMP162,EMP162,,,Rein Drenkhan,,,,,DNA-based early detection and diagnostics of alien invasive forest pathogens and tracing of their introduction pathways into northern Europe,,
,,,,,,,,,,,,,,EMP162,EMP162,,,Liidia Bitjukova,,,,,Environmental impact of oil shale combustion ashes on topsoils in Narva Powerplants region: combined geochemical and ecotoxicological approach,,
,,,,,,,,,,,,,,EMP162,EMP162,,,Sabine Brauckmann,,,,,The Cultural Heritage of Environmental Spaces: A Comparative Analysis between Estonia and Norway,,
,,,,,,,,,,,,,,EMP162,EMP162,,,Irina Didenkulova,,,,,Shoaling and runup of long waves generated by high-speed ferries,,
,,,,,,,,,,,,,,EMP162,EMP162,,,Ants Erm,,,,,"Probable locations of windfarms in the open sea in relation to most favourable meteorological, hydrographical, ice and environmental conditions",,
,,,,,,,,,,,,,,EMP162,EMP162,,,Mart Loog,,,,,Mass spectrometry-aided phosphoproteomics – the key for mapping the signalling networks in cells,,
,,,,,,,,,,,,,,EMP162,EMP162,,,Tiina Randlane,,,,,Potentional indicational value of epiphytic macrolichens in evaluation of forest age and protection requirements,,
,,,,,,,,,,,,,,EMP162,EMP162,,,Anu Reinart,,,,,Improving Satellite Remote Sensing Products for Large Lakes,,
,,,,,,,,,,,,,,EMP162,EMP162,,,Epp Sepp,,,,,"Clostridium difficile infection in Estonia and Norway: molecular epidemiology (incl prevalence of hypervirulent strain 027), phenotypic characteristics of strains and interaction with intestinal lactobacilli",,
,,,,,,,,,,,,,,EMP162,EMP162,,,Margit Sutrop,,,,,New ethical frameworks for genetic and electronic care record databases,,
,,,,,,,,,,,,,,EMP162,EMP162,,,Agu Tamm,,,,,"Angiogenic, inflammatory and bone markers in Estonian and Icelandic patients with distinct forms of osteoarthritis",,
"84 999,84",,,,€,,,,,,,Estonian University of Life Sciences,,,,,,,Kristina Noreikien;Anti Vasem€gi,,,,,Habitat-dependent variation in sensory organs and the brain in perch,,
"85 499,92",,,,€,,,,,,,Estonian University of Life Sciences,,,,,,,Giacomo Puglielli;Lauri Laanisto,,,,,Global patterns of intraspecific abiotic stress tolerance in woody species,,
"90 499,84",,,,€,,,,,,,Estonian University of Life Sciences,,,,,,,Pawel Mirski;€lo V€li,,,,,The use of wildlife movement data to reveal hotspots of biodiversity in agricultural landscape,,
"90 499,84",,,,€,,,,,,,Estonian University of Life Sciences,,,,,,,Tharaka Rama Krishna Chowdary Doddapaneni;Timo Kikas,,,,,Integrated torrefaction/microbial conversion: An approach to produce biofuels and bio-chemicals from lignocellulosic biomasssic biomass,,
"85 499,92",,,,€,,,,,,,National Institute of Chemical Physics and Biophysics (KBFI),,,,,,,Alexandros Karam;Martti Raidal,,,,,"Dynamically induced Planck, dark matter, neutrino and electroweak mass scales",,
"90 499,84",,,,€,,,,,,,National Institute of Chemical Physics and Biophysics (KBFI),,,,,,,Valeriy Verchenko;Raivo Stern,,,,,Unconventional superconductivity in the MonGa(5n+1) intermetallics,,
"85 499,92",,,,€,,,,,,,University of Tallinn,,,,,,,Philipp Dominik Keidl;Indrek Ibrus,,,,,"Transmedia and Historiography: Archives, Metadata, Power",,
"85 499,92",,,,€,,,,,,,University of Tallinn,,,,,,,Anna Maria Ozimek;Ulrike Rohn,,,,,Investigating working conditions in the Estonian video game industry,,
,,,,€,,,,,,,Tallinn University of Technology,,,,,,,Ishaya Peni Gambo;Kuldar Taveter,,,,,Conflict Resolution in Goal-Oriented Requirements Engineering for Socio-Technical Systems,,
"90 499,84",,,,€,,,,,,,Tallinn University of Technology,,,,,,,Asya Ivanova Drenkova-Tuhtan;Maarja Kruusmaa,,,,,EMPHASIS (Estimation of Magnetic Particle HydrodynAmic StabIlity through Sensing),,
"90 499,84",,,,€,,,,,,,University of Tartu,,,,,,,Radwa El Shawi;Jaak Vilo,,,,,Towards Usable Machine Learning for Efficient Predictive Analytics in the Healthcare Domain,,
"85 499,92",,,,€,,,,,,,University of Tartu,,,,,,,Alin Olteanu;Timo Maran,,,,,Towards a joint environmental and digital literacy: An ecosemiotic approach to digitalization,,
"85 499,92",,,,€,,,,,,,University of Tartu,,,,,,,Toon Staes;Marina Griakova,,,,,Complex Plots: Narrative Representations of Complexity,,
"85 499,92",,,,€,,,,,,,University of Tartu,,,,,,,Ali Ghiami-Shomami;Ivo Leito,,,,,Computational design of novel matrix compounds for MALDI-MS,,
"85 499,92",,,,€,,,,,,,University of Tartu,,,,,,,James Stephen Pearson;Margit Sutrop,,,,,Disagreement and the Bounds of Multiculturalism: A Critique of Political Exclusion,,
"90 499,84",,,,€,,,,,,,University of Tartu,,,,,,,Kaidi L€o;P€rtel Lippus,,,,,Morphology in speech,,
"85 499,92",,,,€,,,,,,,University of Tartu,,,,,,,Daniel Kaasik;Lauri M€lksoo,,,,,Forest Harvesting in International Law: The Case of Estonia,,
"85 499,92",,,,€,,,,,,,University of Tartu,,,,,,,Sebastian Bahamonde Beltran;Manuel Hohmann,,,,,Energy conditions and singularities in the teleparallel equivalent of general relativity,,
"84 999,84",,,,€,,,,,,,University of Tartu,,,,,,,Sabina Tr€ger;Tsipe Aavik,,,,,The effect of landscape configuration on the functional connectivity of Primula veris € a landscape genomic approach,,
"90 499,84",,,,€,,,,,,,Triumf Research O€,,,,,,,Kadri Haljas;Kirsti Akkermann,,,,,Reducing psychological problems in chronically ill children through digital health intervention,,
63 420,,,,€,,,,,,,Estonian Academy of Arts,,,,,,,Regina-Nino Mion;Virve Sarapik,,,,,Image or Sign: A Phenomenological Study of Pictorial Representation,,
75 800,,,,€,,,,,,,Estonian University of Life Sciences,,,,,,,Raymond Ward;Tiiu Kull,,,,,Assessment of carbon storage and sequestration rates within the Estonian coastal zone,,
69 920,,,,€,,,,,,,National Institute of Chemical Physics and Biophysics (KBFI),,,,,,,Tommi Tapani Markkanen;Martti Raidal,,,,,Cosmological impacts of the electroweak vacuum instability,,
75 800,,,,€,,,,,,,National Institute of Chemical Physics and Biophysics (KBFI),,,,,,,Tanmoy Chakrabarty;Raivo Stern,,,,,Novel electronic states of low-dimensional and magnetically frustrated systems,,
69 920,,,,€,,,,,,,University of Tallinn,,,,,,,"Teet Teinemaa;Eva N€ripea, Indrek Ibrus",,,,,Post-Soviet Neoliberalism in Contemporary Estonian Cinema,,
69 920,,,,€,,,,,,,University of Tallinn,,,,,,,Gustavs Strenga;Marek Tamm,,,,,"Economy of symbolic exchange. Gift-giving as a social, cultural and political practice in the late medieval Livonia",,
69 920,,,,€,,,,,,,University of Tallinn,,,,,,,Aija Lulle;Raivo Vetik,,,,,Affective migratory nationalism among recent Eastern European migrants in Europe,,
69 300,,,,€,,,,,,,Tallinn University of Technology,,,,,,,Souhaib Oueslati;Maarja Grossberg,,,,,Optoelectronic studies of Cu2ZnSn(SSe)4 monograin layer solar cells,,
75 800,,,,€,,,,,,,Tallinn University of Technology,,,,,,,Rocio Rojas Hernandez;Irina Hussainova,,,,,Development of novel core-shell structured luminescent materials,,
69 300,,,,€,,,,,,,University of Tartu,,,,,,,Aurele Toussaint;Meelis P€rtel,,,,,Macroecology of functional diversity: comparison of taxonomic groups,,
69 920,,,,€,,,,,,,University of Tartu,,,,,,,Justin Michael Zylstra;Bruno M€lder,,,,,Essence and Metaphysical Disagreement,,
63 420,,,,€,,,,,,,University of Tartu,,,,,,,Eldho Kuppamala Puthenpurayil Thomas;Vitaly Skachek,,,,,Study of Novel Codes for Problems in Distributed Systems,,
69 920,,,,€,,,,,,,University of Tartu,,,,,,,Martin M€lder;Vello Andres Pettai,,,,,Perceptual Spaces of Party Politics: An Inductive Study of European Party Systems,,
75 800,,,,€,,,,,,,University of Tartu,,,,,,,Alexander Kmoch;€lo Mander,,,,,"Enhancing data fusion, parallelisation for hydrological modelling and estimating sensitivity to spatial parameterization of SWAT to model nitrogen and phosphorus runoff at local and global scale",,
